instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-15382,0.33441805484888976,0.3444224885262621,0.0,407,959,545,django/django
django__django-15467,0.3442330186314646,0.3940645556065474,1.0,727,702,1000,django/django
django__django-15499,0.21195621757700223,0.17448534136991145,0.0,263,906,1139,django/django
django__django-15503,0.33608874713484727,0.3711811747403253,0.0,1797,3313,1545,django/django
django__django-15525,0.3455066651434342,0.35794288726163814,0.0,4379,640,3254,django/django
django__django-15554,0.2480668868277638,0.31543241638630515,0.0,1278,4891,1401,django/django
django__django-15561,0.14492737306772252,0.1376486500809928,0.0,359,2007,1152,django/django
django__django-15563,0.36242769633725014,0.3987854251012146,0.0,1727,2588,899,django/django
django__django-15569,0.4241345914860428,0.3750324872216928,0.0,640,481,2662,django/django
django__django-15572,0.356671201960975,0.35035060714896527,1.0,1388,855,742,django/django
django__django-15629,0.23694221727510412,0.27450810618801036,0.0,2395,5128,6409,django/django
django__django-15695,0.2760763618200237,0.30200593766579753,0.0,1259,737,903,django/django
django__django-15731,0.3205177184825658,0.35046895819000445,1.0,1179,775,939,django/django
django__django-15732,0.2452589794946547,0.2109038760256865,0.0,599,2829,3349,django/django
django__django-15741,0.22695834643886603,0.29435110400859976,1.0,365,458,1229,django/django
django__django-15814,0.4276000275357774,0.33815825270486144,1.0,2646,598,700,django/django
django__django-15851,0.13287530695805483,0.20112089991110316,0.0,632,514,540,django/django
django__django-15863,0.1619336734065231,0.21860799725121338,0.0,838,427,808,django/django
django__django-15916,0.3538707863125494,0.37253575379266746,0.0,1744,1709,1569,django/django
django__django-15930,0.3987597957645319,0.45722732982128034,0.0,689,857,902,django/django
django__django-15957,0.3273526222447427,0.3513852325435629,0.0,854,3039,2870,django/django
django__django-15973,0.258068196707796,0.3447137590011846,0.0,5339,633,2498,django/django
django__django-15987,0.3561985719143148,0.3142580982236154,1.0,176,697,1182,django/django
django__django-16032,0.39881422096166097,0.4883138765609063,0.0,778,2191,1445,django/django
django__django-16082,0.31038866627709605,0.3124297440030541,0.0,308,356,706,django/django
django__django-16100,0.3059087160732852,0.3462622218800524,0.0,281,1677,3201,django/django
django__django-16116,0.3732991571813362,0.2735007938769696,1.0,758,1265,773,django/django
django__django-16136,0.3851558010188676,0.3659321794644117,0.0,2087,753,1590,django/django
django__django-16139,0.2599258237839379,0.26422524118921054,1.0,1413,697,1865,django/django
django__django-16145,0.390950096597793,0.37704212727815944,0.0,589,1156,1011,django/django
django__django-16255,0.3408684974324625,0.3552413091220741,1.0,1566,539,2292,django/django
django__django-16256,0.2779286287283953,0.30602957252171903,0.0,2110,5054,5401,django/django
django__django-16263,0.27328643216080417,0.36737588652482267,0.0,656,9785,2125,django/django
django__django-16315,0.3632248728671874,0.2949902497293069,0.0,1298,2319,2176,django/django
