model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order,surface_id,topology_proxy_kind,surface_selector
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,xi_over_L,0.1074762245,0.0210071638,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,susceptibility,0.3343673321,0.0308845549,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,structure_factor_kmin,0.2440462018,0.0210644816,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,magnetization_abs,1.4437967144,0.0088346061,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.050_lam1.000,acceptance_rate,0.5214814815,0.0017788988,0.5000000000,4842,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.050_lam1.000,binder,0.6641551817,0.0002422703,0.5000000000,5104,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.050_lam1.000,xi_over_L,0.0000000000,0.0215571361,0.5000000000,5104,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.050_lam1.000,susceptibility,0.2502482003,0.0241828257,0.5000000000,5104,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.050_lam1.000,structure_factor_kmin,0.2621280845,0.0159398602,0.5000000000,5104,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.050_lam1.000,magnetization_abs,1.4355786189,0.0057322090,0.5000000000,5104,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
