model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,xi_over_L,0.0157181835,0.0305898742,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,susceptibility,0.3069504295,0.0386619449,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,structure_factor_kmin,0.3043938733,0.0216517948,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,magnetization_abs,1.4064889351,0.0050787945,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.100,acceptance_rate,0.4450750000,0.0011763104,0.5000000000,5451,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.865150,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,binder,0.6609917641,0.0007246911,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,xi_over_L,0.1240978257,0.0229883522,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,susceptibility,0.2982524769,0.0317618485,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,structure_factor_kmin,0.1997104270,0.0118721568,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.150,magnetization_abs,1.3817550961,0.0083438656,0.5000000000,4977,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
