instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-16255,0.3408684974324625,0.3552413091220741,1.0,1566,539,2292,django/django
django__django-16379,0.35429307494136175,0.33391149088126526,1.0,1083,586,676,django/django
django__django-16400,0.33961405637483666,0.39469800248252507,0.0,2354,954,1049,django/django
django__django-16408,0.25618228623517125,0.2532083700977754,0.0,1100,1166,1239,django/django
django__django-16527,0.27263960939884035,0.25475012547501263,1.0,493,581,2633,django/django
django__django-16595,0.34211137278975,0.29748723082056405,1.0,1540,712,2160,django/django
django__django-16816,0.4143235498074209,0.2304913100706476,0.0,4951,793,1075,django/django
django__django-16820,0.3434184931511135,0.2726044252105475,0.0,388,3071,13947,django/django
django__django-16873,0.28517865294120326,0.2773387941004335,1.0,2369,693,1342,django/django
django__django-16910,0.34084701465483636,0.3400148649965884,0.0,1622,940,2801,django/django
django__django-17051,0.26834704994791925,0.20348056349962929,0.0,1170,1011,5333,django/django
django__django-17087,0.3908093640902941,0.26372492667757297,0.0,1135,555,974,django/django
matplotlib__matplotlib-18869,0.4230470100241963,0.4115057235104198,0.0,1717,3247,788,matplotlib/matplotlib
matplotlib__matplotlib-22711,0.4184778987828315,0.3253816213586329,0.0,3533,2068,1357,matplotlib/matplotlib
matplotlib__matplotlib-22835,0.37523316914974036,0.4168536743632727,0.0,1872,1630,5243,matplotlib/matplotlib
matplotlib__matplotlib-23299,0.319477407237474,0.3400639528092513,0.0,1780,646,709,matplotlib/matplotlib
matplotlib__matplotlib-23314,0.43650890063335734,0.4546326666034697,0.0,943,421,1284,matplotlib/matplotlib
matplotlib__matplotlib-23476,0.3687702950727092,0.3919722678343369,0.0,3251,519,702,matplotlib/matplotlib
matplotlib__matplotlib-23562,0.4485714285714284,0.35829787234042554,0.0,1257,849,1077,matplotlib/matplotlib
matplotlib__matplotlib-23563,0.3478940596703324,0.4588662986400971,0.0,4657,526,621,matplotlib/matplotlib
matplotlib__matplotlib-23913,0.3777000491784377,0.45676226481968274,0.0,634,1201,650,matplotlib/matplotlib
matplotlib__matplotlib-23964,0.5597692407275552,0.3838887812439449,1.0,4307,648,542,matplotlib/matplotlib
matplotlib__matplotlib-23987,0.3510399094557981,0.43184392619169665,0.0,1291,786,697,matplotlib/matplotlib
matplotlib__matplotlib-24149,0.469111477890104,0.39267803410230684,0.0,3224,972,642,matplotlib/matplotlib
matplotlib__matplotlib-24265,0.479947271101719,0.20256804925469862,0.0,1248,3498,518,matplotlib/matplotlib
matplotlib__matplotlib-24334,0.29836193648994946,0.3999437330197213,0.0,696,633,681,matplotlib/matplotlib
matplotlib__matplotlib-24970,0.49266786422927455,0.47307785008435776,0.0,1758,1598,679,matplotlib/matplotlib
matplotlib__matplotlib-25079,0.33949641249904383,0.34660268993093424,0.0,3763,707,522,matplotlib/matplotlib
matplotlib__matplotlib-25311,0.42017529981330903,0.42045592091991124,0.0,908,924,1413,matplotlib/matplotlib
matplotlib__matplotlib-25332,0.31888465079862116,0.35883354121193234,0.0,1004,824,928,matplotlib/matplotlib
matplotlib__matplotlib-25433,0.34362169283126565,0.32722948870392377,0.0,1778,433,649,matplotlib/matplotlib
matplotlib__matplotlib-25442,0.4365169797723045,0.1732946885953086,0.0,1891,2513,564,matplotlib/matplotlib
matplotlib__matplotlib-25498,0.2222595040039006,0.3018696323673826,0.0,1474,1102,637,matplotlib/matplotlib
matplotlib__matplotlib-26011,0.38346224919838434,0.41985498278515565,1.0,1637,1054,763,matplotlib/matplotlib
matplotlib__matplotlib-26020,0.475655562598305,0.2521303258145364,1.0,19270,1137,510,matplotlib/matplotlib
mwaskom__seaborn-2848,0.49442756448055203,0.3992160192574028,0.0,965,767,979,mwaskom/seaborn
mwaskom__seaborn-3010,0.37512051345618835,0.36772869901037897,1.0,3951,444,956,mwaskom/seaborn
